CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
5,59,Reputation,18283,10,1014,0,3781,6332,159
1,59,Reputation,18283,13,1014,0,3781,6333,159
3,59,Reputation,18283,16,1014,0,3781,6476,159
1,59,Reputation,18283,12,1014,0,3781,6500,159
3,59,Reputation,18283,12,1014,0,3781,6596,159
3,59,Reputation,18283,7,1014,0,3781,6973,159
1,59,Reputation,18283,4,1014,0,3781,7038,159
1,59,Reputation,18283,13,1014,0,3781,7828,159
2,59,Reputation,18283,9,1014,0,3781,8398,159
4,59,Reputation,18283,2,1014,0,3781,8474,159
1,59,Reputation,18283,7,1014,0,3781,8751,159
0,59,Reputation,18283,3,1014,0,3781,9078,159
0,59,Reputation,18283,1,1014,0,3781,9119,159
6,59,Reputation,18283,15,1014,0,3781,9144,159
0,59,Reputation,18283,4,1014,0,3781,9476,159
0,59,Reputation,18283,3,1014,0,3781,10968,159
1,59,Reputation,18283,7,1014,0,3781,11649,159
0,59,Reputation,18283,4,1014,0,3781,12737,159
6,59,Reputation,18283,4,1014,0,3781,13227,159
0,59,Reputation,18283,4,1014,0,3781,13228,159
6,59,Reputation,18283,8,1014,226,3781,13530,159
2,59,Reputation,18283,5,1014,0,3781,13574,159
0,59,Reputation,18283,5,1014,0,3781,14252,159
0,59,Reputation,18283,4,1014,0,3781,14779,159
3,59,Reputation,18283,6,1014,0,3781,14780,159
9,59,Reputation,18283,9,1014,0,3781,14923,159
2,59,Reputation,18283,2,1014,0,3781,15492,159
0,59,Reputation,18283,3,1014,0,3781,16431,159
1,59,Reputation,18283,2,1014,0,3781,17089,159
1,59,Reputation,18283,8,1014,0,3781,17187,159
0,59,Reputation,18283,1,1014,0,3781,17406,159
1,59,Reputation,18283,1,1014,0,3781,17691,159
6,59,Reputation,18283,6,1014,0,3781,17783,159
2,59,Reputation,18283,1,1014,0,3781,17872,159
6,59,Reputation,18283,3,1014,0,3781,18107,159
3,59,Reputation,18283,5,1014,0,3781,18326,159
4,59,Reputation,18283,4,1014,0,3781,19658,159
1,59,Reputation,18283,4,1014,0,3781,20384,159
0,59,Reputation,18283,3,1014,0,3781,21376,159
3,59,Reputation,18283,1,1014,0,3781,22194,159
0,59,Reputation,18283,4,1014,0,3781,22758,159
10,59,Reputation,18283,4,1014,0,3781,23033,159
2,59,Reputation,18283,4,1014,0,3781,23034,159
4,59,Reputation,18283,7,1014,0,3781,23123,159
2,59,Reputation,18283,3,1014,0,3781,23125,159
2,59,Reputation,18283,4,1014,0,3781,23916,159
0,59,Reputation,18283,3,1014,0,3781,23918,159
2,59,Reputation,18283,5,1014,0,3781,24113,159
6,59,Reputation,18283,5,1014,0,3781,24361,159
1,59,Reputation,18283,6,1014,0,3781,24468,159
4,59,Reputation,18283,11,1014,0,3781,24610,159
6,59,Reputation,18283,3,1014,0,3781,24665,159
0,59,Reputation,18283,5,1014,0,3781,25330,159
1,59,Reputation,18283,3,1014,0,3781,25810,159
2,59,Reputation,18283,2,1014,0,3781,26718,159
0,59,Reputation,18283,2,1014,0,3781,26931,159
1,59,Reputation,18283,1,1014,0,3781,27006,159
0,59,Reputation,18283,6,1014,0,3781,27070,159
4,59,Reputation,18283,6,1014,0,3781,27327,159
3,59,Reputation,18283,4,1014,0,3781,27328,159
12,59,Reputation,18283,6,1014,0,3781,27716,159
0,59,Reputation,18283,2,1014,0,3781,28430,159
0,59,Reputation,18283,6,1014,0,3781,28496,159
2,59,Reputation,18283,1,1014,0,3781,28591,159
0,59,Reputation,18283,3,1014,0,3781,29339,159
0,59,Reputation,18283,8,1014,0,3781,29442,159
1,59,Reputation,18283,3,1014,0,3781,29450,159
0,59,Reputation,18283,2,1014,0,3781,30208,159
1,59,Reputation,18283,5,1014,0,3781,30225,159
1,59,Reputation,18283,2,1014,0,3781,30575,159
3,59,Reputation,18283,5,1014,0,3781,31026,159
1,59,Reputation,18283,3,1014,0,3781,31093,159
4,59,Reputation,18283,4,1014,0,3781,31500,159
1,59,Reputation,18283,1,1014,0,3781,32003,159
2,59,Reputation,18283,1,1014,0,3781,32197,159
7,59,Reputation,18283,10,1014,0,3781,32764,159
2,59,Reputation,18283,9,1014,0,3781,32799,159
0,59,Reputation,18283,7,1014,0,3781,32800,159
1,59,Reputation,18283,3,1014,0,3781,32806,159
2,59,Reputation,18283,6,1014,0,3781,32887,159
6,59,Reputation,18283,5,1014,0,3781,32908,159
7,59,Reputation,18283,13,1014,0,3781,33958,159
1,59,Reputation,18283,4,1014,0,3781,34116,159
0,59,Reputation,18283,2,1014,0,3781,34191,159
2,59,Reputation,18283,3,1014,0,3781,34408,159
1,59,Reputation,18283,1,1014,0,3781,34411,159
1,59,Reputation,18283,5,1014,0,3781,34503,159
5,59,Reputation,18283,7,1014,0,3781,35329,159
1,59,Reputation,18283,5,1014,0,3781,37462,159
1,59,Reputation,18283,4,1014,0,3781,38256,159
1,59,Reputation,18283,7,1014,0,3781,41072,159
3,59,Reputation,18283,5,1014,0,3781,43376,159
2,59,Reputation,18283,5,1014,0,3781,43377,159
0,59,Reputation,18283,2,1014,0,3781,43631,159
0,59,Reputation,18283,4,1014,0,3781,44074,159
1,59,Reputation,18283,2,1014,0,3781,44388,159
5,59,Reputation,18283,3,1014,0,3781,44765,159
1,59,Reputation,18283,2,1014,0,3781,44767,159
5,59,Reputation,18283,2,1014,0,3781,44975,159
1,59,Reputation,18283,2,1014,0,3781,45039,159
0,59,Reputation,18283,1,1014,0,3781,45040,159
2,59,Reputation,18283,2,1014,0,3781,45531,159
1,59,Reputation,18283,3,1014,0,3781,46279,159
1,59,Reputation,18283,4,1014,0,3781,46495,159
5,59,Reputation,18283,2,1014,0,3781,47558,159
3,59,Reputation,18283,1,1014,0,3781,47559,159
0,59,Reputation,18283,9,1014,0,3781,47733,159
3,59,Reputation,18283,5,1014,0,3781,48296,159
0,59,Reputation,18283,3,1014,0,3781,48489,159
2,59,Reputation,18283,6,1014,0,3781,49041,159
1,59,Reputation,18283,7,1014,0,3781,50766,159
4,59,Reputation,18283,1,1014,0,3781,52465,159
2,59,Reputation,18283,1,1014,0,3781,52466,159
0,59,Reputation,18283,2,1014,0,3781,52554,159
1,59,Reputation,18283,1,1014,0,3781,52872,159
1,59,Reputation,18283,3,1014,0,3781,53291,159
3,59,Reputation,18283,1,1014,0,3781,55197,159
1,59,Reputation,18283,1,1014,0,3781,55429,159
0,59,Reputation,18283,2,1014,0,3781,55985,159
7,59,Reputation,18283,1,1014,0,3781,55995,159
1,59,Reputation,18283,1,1014,0,3781,56004,159
1,59,Reputation,18283,1,1014,0,3781,56588,159
5,59,Reputation,18283,4,1014,0,3781,57574,159
8,59,Reputation,18283,3,1014,0,3781,57761,159
0,59,Reputation,18283,5,1014,0,3781,58854,159
5,59,Reputation,18283,3,1014,0,3781,59070,159
0,59,Reputation,18283,3,1014,0,3781,59200,159
1,59,Reputation,18283,5,1014,0,3781,59249,159
1,59,Reputation,18283,3,1014,0,3781,59273,159
4,59,Reputation,18283,4,1014,0,3781,59354,159
3,59,Reputation,18283,3,1014,0,3781,60693,159
2,59,Reputation,18283,3,1014,0,3781,61322,159
1,59,Reputation,18283,5,1014,0,3781,61844,159
4,59,Reputation,18283,4,1014,0,3781,61891,159
0,59,Reputation,18283,2,1014,0,3781,61892,159
2,59,Reputation,18283,3,1014,0,3781,62197,159
2,59,Reputation,18283,1,1014,0,3781,62609,159
0,59,Reputation,18283,1,1014,0,3781,62925,159
5,59,Reputation,18283,1,1014,0,3781,63020,159
1,59,Reputation,18283,1,1014,0,3781,63741,159
3,59,Reputation,18283,1,1014,0,3781,63742,159
0,59,Reputation,18283,1,1014,0,3781,64908,159
0,59,Reputation,18283,2,1014,0,3781,64910,159
2,59,Reputation,18283,3,1014,0,3781,64915,159
0,59,Reputation,18283,1,1014,0,3781,65485,159
0,59,Reputation,18283,6,1014,0,3781,65607,159
0,59,Reputation,18283,2,1014,0,3781,66480,159
0,59,Reputation,18283,2,1014,0,3781,67112,159
1,59,Reputation,18283,3,1014,0,3781,67366,159
1,59,Reputation,18283,4,1014,0,3781,67368,159
0,59,Reputation,18283,3,1014,0,3781,68143,159
1,59,Reputation,18283,5,1014,0,3781,68266,159
1,59,Reputation,18283,1,1014,0,3781,68381,159
3,59,Reputation,18283,8,1014,0,3781,68395,159
3,59,Reputation,18283,3,1014,0,3781,68432,159
0,59,Reputation,18283,3,1014,0,3781,69426,159
2,59,Reputation,18283,2,1014,0,3781,70192,159
4,59,Reputation,18283,2,1014,0,3781,70980,159
2,59,Reputation,18283,2,1014,0,3781,72083,159
5,59,Reputation,18283,1,1014,0,3781,72283,159
2,59,Reputation,18283,3,1014,0,3781,72899,159
2,59,Reputation,18283,3,1014,0,3781,74426,159
0,59,Reputation,18283,1,1014,0,3781,74830,159
2,59,Reputation,18283,3,1014,0,3781,76326,159
0,59,Reputation,18283,1,1014,0,3781,77076,159
0,59,Reputation,18283,2,1014,0,3781,77214,159
1,59,Reputation,18283,1,1014,0,3781,77292,159
3,59,Reputation,18283,1,1014,0,3781,77553,159
0,59,Reputation,18283,3,1014,0,3781,79793,159
1,59,Reputation,18283,2,1014,0,3781,80071,159
3,59,Reputation,18283,6,1014,0,3781,80865,159
0,59,Reputation,18283,3,1014,0,3781,82067,159
0,59,Reputation,18283,1,1014,0,3781,83196,159
0,59,Reputation,18283,1,1014,0,3781,83696,159
1,59,Reputation,18283,2,1014,0,3781,83936,159
0,59,Reputation,18283,2,1014,0,3781,84354,159
0,59,Reputation,18283,1,1014,0,3781,85450,159
0,59,Reputation,18283,4,1014,0,3781,85594,159
0,59,Reputation,18283,2,1014,0,3781,86021,159
2,59,Reputation,18283,3,1014,0,3781,86666,159
1,59,Reputation,18283,3,1014,0,3781,87757,159
0,59,Reputation,18283,1,1014,0,3781,88808,159
4,59,Reputation,18283,26,1014,486,3781,91462,159
0,59,Reputation,18283,1,1014,0,3781,94234,159
5,59,Reputation,18283,2,1014,0,3781,94528,159
1,59,Reputation,18283,0,1014,0,3781,95738,159
0,59,Reputation,18283,3,1014,0,3781,95775,159
0,59,Reputation,18283,1,1014,0,3781,103751,159
2,59,Reputation,18283,1,1014,0,3781,107822,159
2,59,Reputation,18283,2,1014,0,3781,108229,159
1,59,Reputation,18283,1,1014,0,3781,108259,159
0,59,Reputation,18283,0,1014,0,3781,108963,159
0,59,Reputation,18283,1,1014,0,3781,109522,159
1,59,Reputation,18283,0,1014,0,3781,110620,159
1,59,Reputation,18283,2,1014,0,3781,110800,159
4,59,Reputation,18283,1,1014,0,3781,111123,159
0,59,Reputation,18283,0,1014,0,3781,112235,159
2,59,Reputation,18283,1,1014,0,3781,115050,159
0,45,Reputation,22625,8,2496,0,4069,201,183
0,45,Reputation,22625,11,2496,0,4069,202,183
2,45,Reputation,22625,16,2496,6033,4069,203,183
2,45,Reputation,22625,7,2496,0,4069,204,183
3,45,Reputation,22625,9,2496,0,4069,210,183
1,45,Reputation,22625,1,2496,0,4069,285,183
3,45,Reputation,22625,48,2496,4470,4069,485,183
1,45,Reputation,22625,10,2496,0,4069,488,183
0,45,Reputation,22625,9,2496,0,4069,540,183
0,45,Reputation,22625,7,2496,0,4069,542,183
0,45,Reputation,22625,5,2496,0,4069,543,183
0,45,Reputation,22625,13,2496,0,4069,544,183
5,45,Reputation,22625,29,2496,0,4069,546,183
1,45,Reputation,22625,36,2496,0,4069,755,183
0,45,Reputation,22625,1,2496,0,4069,953,183
0,45,Reputation,22625,4,2496,0,4069,954,183
0,45,Reputation,22625,1,2496,0,4069,958,183
0,45,Reputation,22625,2,2496,0,4069,959,183
0,45,Reputation,22625,3,2496,0,4069,1029,183
0,45,Reputation,22625,25,2496,0,4069,1059,183
1,45,Reputation,22625,8,2496,0,4069,1217,183
0,45,Reputation,22625,2,2496,0,4069,1279,183
1,45,Reputation,22625,1,2496,0,4069,1285,183
0,45,Reputation,22625,6,2496,0,4069,1343,183
0,45,Reputation,22625,5,2496,0,4069,1384,183
4,45,Reputation,22625,8,2496,0,4069,1391,183
0,45,Reputation,22625,5,2496,0,4069,1409,183
1,45,Reputation,22625,2,2496,0,4069,1410,183
0,45,Reputation,22625,13,2496,0,4069,1411,183
0,45,Reputation,22625,0,2496,0,4069,1440,183
1,45,Reputation,22625,5,2496,0,4069,1522,183
6,45,Reputation,22625,18,2496,0,4069,1527,183
3,45,Reputation,22625,60,2496,0,4069,1579,183
2,45,Reputation,22625,12,2496,7655,4069,1580,183
0,45,Reputation,22625,7,2496,0,4069,1596,183
2,45,Reputation,22625,26,2496,0,4069,1597,183
0,45,Reputation,22625,7,2496,0,4069,1628,183
0,45,Reputation,22625,6,2496,0,4069,1629,183
0,45,Reputation,22625,3,2496,0,4069,1631,183
3,45,Reputation,22625,7,2496,1032,4069,1646,183
1,45,Reputation,22625,2,2496,0,4069,1677,183
1,45,Reputation,22625,6,2496,0,4069,1678,183
1,45,Reputation,22625,2,2496,0,4069,1725,183
1,45,Reputation,22625,3,2496,0,4069,1731,183
0,45,Reputation,22625,1,2496,0,4069,1744,183
7,45,Reputation,22625,16,2496,0,4069,1763,183
0,45,Reputation,22625,1,2496,0,4069,1785,183
0,45,Reputation,22625,2,2496,0,4069,1814,183
6,45,Reputation,22625,12,2496,0,4069,1823,183
1,45,Reputation,22625,3,2496,0,4069,1839,183
0,45,Reputation,22625,4,2496,0,4069,1864,183
2,45,Reputation,22625,2,2496,0,4069,1868,183
0,45,Reputation,22625,6,2496,0,4069,1876,183
2,45,Reputation,22625,7,2496,0,4069,1879,183
0,45,Reputation,22625,2,2496,0,4069,1880,183
5,45,Reputation,22625,3,2496,0,4069,1892,183
2,45,Reputation,22625,6,2496,0,4069,1909,183
0,45,Reputation,22625,4,2496,319,4069,1942,183
0,45,Reputation,22625,7,2496,0,4069,1979,183
0,45,Reputation,22625,53,2496,2985,4069,1980,183
0,45,Reputation,22625,4,2496,0,4069,1981,183
0,45,Reputation,22625,4,2496,0,4069,2016,183
0,45,Reputation,22625,3,2496,0,4069,2017,183
0,45,Reputation,22625,1,2496,0,4069,2018,183
0,45,Reputation,22625,2,2496,0,4069,2020,183
0,45,Reputation,22625,4,2496,157,4069,2022,183
0,45,Reputation,22625,5,2496,0,4069,2039,183
1,45,Reputation,22625,11,2496,1054,4069,2061,183
3,45,Reputation,22625,3,2496,0,4069,2088,183
1,45,Reputation,22625,5,2496,0,4069,2090,183
1,45,Reputation,22625,5,2496,0,4069,2100,183
2,45,Reputation,22625,41,2496,0,4069,2128,183
2,45,Reputation,22625,5,2496,0,4069,2201,183
0,45,Reputation,22625,3,2496,824,4069,2259,183
2,45,Reputation,22625,0,2496,0,4069,2268,183
0,45,Reputation,22625,10,2496,0,4069,2303,183
3,45,Reputation,22625,3,2496,0,4069,2304,183
0,45,Reputation,22625,1,2496,0,4069,2310,183
0,45,Reputation,22625,0,2496,0,4069,2331,183
4,45,Reputation,22625,4,2496,0,4069,2406,183
5,45,Reputation,22625,3,2496,0,4069,2431,183
3,45,Reputation,22625,13,2496,1030,4069,2432,183
0,45,Reputation,22625,7,2496,0,4069,2440,183
1,45,Reputation,22625,2,2496,0,4069,2465,183
0,45,Reputation,22625,9,2496,5812,4069,2469,183
0,45,Reputation,22625,3,2496,0,4069,2582,183
0,45,Reputation,22625,2,2496,0,4069,2586,183
3,45,Reputation,22625,6,2496,279,4069,2648,183
0,45,Reputation,22625,2,2496,0,4069,2705,183
0,45,Reputation,22625,6,2496,0,4069,2707,183
0,45,Reputation,22625,1,2496,0,4069,2769,183
0,45,Reputation,22625,19,2496,2472,4069,2777,183
4,45,Reputation,22625,17,2496,0,4069,2782,183
1,45,Reputation,22625,9,2496,0,4069,2853,183
0,45,Reputation,22625,5,2496,0,4069,2878,183
0,45,Reputation,22625,3,2496,0,4069,2883,183
0,45,Reputation,22625,6,2496,0,4069,2928,183
0,45,Reputation,22625,6,2496,156,4069,2966,183
7,45,Reputation,22625,10,2496,0,4069,2998,183
0,45,Reputation,22625,8,2496,634,4069,3006,183
4,45,Reputation,22625,15,2496,3712,4069,3038,183
1,45,Reputation,22625,9,2496,0,4069,3044,183
4,45,Reputation,22625,8,2496,0,4069,3081,183
4,45,Reputation,22625,3,2496,267,4069,3100,183
4,45,Reputation,22625,7,2496,225,4069,3180,183
0,45,Reputation,22625,2,2496,0,4069,3277,183
2,45,Reputation,22625,5,2496,0,4069,3282,183
4,45,Reputation,22625,23,2496,10853,4069,3466,183
9,45,Reputation,22625,38,2496,1548,4069,3542,183
2,45,Reputation,22625,2,2496,0,4069,3596,183
0,45,Reputation,22625,47,2496,49948,4069,3730,183
0,45,Reputation,22625,11,2496,0,4069,3738,183
6,45,Reputation,22625,0,2496,0,4069,3794,183
3,45,Reputation,22625,4,2496,0,4069,3833,183
0,45,Reputation,22625,3,2496,0,4069,4007,183
2,45,Reputation,22625,6,2496,725,4069,4131,183
0,45,Reputation,22625,6,2496,0,4069,4310,183
1,45,Reputation,22625,4,2496,0,4069,4426,183
0,45,Reputation,22625,7,2496,0,4069,4427,183
2,45,Reputation,22625,20,2496,1199,4069,4429,183
1,45,Reputation,22625,26,2496,672,4069,4466,183
1,45,Reputation,22625,10,2496,0,4069,4467,183
2,45,Reputation,22625,8,2496,0,4069,4472,183
0,45,Reputation,22625,6,2496,347,4069,4500,183
6,45,Reputation,22625,3,2496,440,4069,4501,183
0,45,Reputation,22625,6,2496,0,4069,4855,183
0,45,Reputation,22625,7,2496,1866,4069,4898,183
1,45,Reputation,22625,12,2496,0,4069,5229,183
2,45,Reputation,22625,13,2496,3751,4069,5238,183
1,45,Reputation,22625,2,2496,0,4069,5244,183
6,45,Reputation,22625,16,2496,470,4069,5249,183
2,45,Reputation,22625,3,2496,0,4069,5395,183
2,45,Reputation,22625,39,2496,1764,4069,5418,183
1,45,Reputation,22625,9,2496,0,4069,5478,183
1,45,Reputation,22625,4,2496,0,4069,5584,183
1,45,Reputation,22625,3,2496,0,4069,5684,183
1,45,Reputation,22625,8,2496,0,4069,5775,183
0,45,Reputation,22625,3,2496,0,4069,5882,183
1,45,Reputation,22625,5,2496,0,4069,6797,183
5,45,Reputation,22625,4,2496,0,4069,7017,183
6,45,Reputation,22625,16,2496,0,4069,7118,183
0,45,Reputation,22625,4,2496,0,4069,7119,183
0,45,Reputation,22625,3,2496,0,4069,7122,183
2,45,Reputation,22625,12,2496,0,4069,7123,183
1,45,Reputation,22625,1,2496,0,4069,7142,183
1,45,Reputation,22625,0,2496,0,4069,7228,183
6,45,Reputation,22625,9,2496,217,4069,7285,183
2,45,Reputation,22625,5,2496,0,4069,7433,183
0,45,Reputation,22625,2,2496,0,4069,7435,183
0,45,Reputation,22625,7,2496,0,4069,7446,183
1,45,Reputation,22625,5,2496,0,4069,7491,183
1,45,Reputation,22625,6,2496,0,4069,7736,183
0,45,Reputation,22625,1,2496,0,4069,7947,183
2,45,Reputation,22625,5,2496,0,4069,8190,183
2,45,Reputation,22625,6,2496,0,4069,8191,183
1,45,Reputation,22625,6,2496,0,4069,8229,183
0,45,Reputation,22625,1,2496,0,4069,8231,183
0,45,Reputation,22625,5,2496,0,4069,8441,183
2,45,Reputation,22625,7,2496,0,4069,8613,183
1,45,Reputation,22625,8,2496,0,4069,8958,183
4,45,Reputation,22625,19,2496,0,4069,8995,183
0,45,Reputation,22625,13,2496,0,4069,9247,183
0,45,Reputation,22625,0,2496,0,4069,9252,183
0,45,Reputation,22625,5,2496,0,4069,9270,183
0,45,Reputation,22625,9,2496,0,4069,9297,183
0,45,Reputation,22625,5,2496,52,4069,9304,183
0,45,Reputation,22625,8,2496,0,4069,9337,183
5,45,Reputation,22625,6,2496,0,4069,9458,183
5,45,Reputation,22625,2,2496,0,4069,9462,183
0,45,Reputation,22625,3,2496,0,4069,9465,183
1,45,Reputation,22625,4,2496,0,4069,9552,183
0,45,Reputation,22625,2,2496,0,4069,9554,183
0,45,Reputation,22625,1,2496,0,4069,9579,183
1,45,Reputation,22625,11,2496,0,4069,9580,183
0,45,Reputation,22625,4,2496,0,4069,9583,183
0,45,Reputation,22625,8,2496,0,4069,9863,183
0,45,Reputation,22625,9,2496,0,4069,9875,183
0,45,Reputation,22625,4,2496,0,4069,9941,183
1,45,Reputation,22625,1,2496,0,4069,9979,183
8,45,Reputation,22625,3,2496,601,4069,9988,183
5,45,Reputation,22625,6,2496,0,4069,9994,183
3,45,Reputation,22625,1,2496,0,4069,9995,183
0,45,Reputation,22625,3,2496,0,4069,10019,183
0,45,Reputation,22625,9,2496,1271,4069,10020,183
1,45,Reputation,22625,1,2496,0,4069,10073,183
0,45,Reputation,22625,32,2496,37288,4069,10079,183
0,45,Reputation,22625,3,2496,0,4069,10102,183
1,45,Reputation,22625,17,2496,0,4069,10105,183
1,45,Reputation,22625,6,2496,0,4069,10136,183
0,45,Reputation,22625,2,2496,1069,4069,10137,183
0,45,Reputation,22625,4,2496,0,4069,10209,183
2,45,Reputation,22625,2,2496,0,4069,10221,183
0,45,Reputation,22625,1,2496,0,4069,10233,183
2,45,Reputation,22625,6,2496,0,4069,10307,183
0,45,Reputation,22625,3,2496,0,4069,10692,183
7,45,Reputation,22625,6,2496,10288,4069,10884,183
2,45,Reputation,22625,6,2496,0,4069,10887,183
0,45,Reputation,22625,2,2496,0,4069,10927,183
4,45,Reputation,22625,3,2496,0,4069,11076,183
1,45,Reputation,22625,3,2496,0,4069,11077,183
2,45,Reputation,22625,1,2496,0,4069,11177,183
0,45,Reputation,22625,3,2496,880,4069,11189,183
0,45,Reputation,22625,5,2496,831,4069,11191,183
0,45,Reputation,22625,3,2496,0,4069,11222,183
4,45,Reputation,22625,2,2496,0,4069,11226,183
0,45,Reputation,22625,11,2496,241,4069,11255,183
0,45,Reputation,22625,15,2496,0,4069,11298,183
4,45,Reputation,22625,9,2496,0,4069,11394,183
1,45,Reputation,22625,5,2496,0,4069,11468,183
0,45,Reputation,22625,1,2496,0,4069,11469,183
2,45,Reputation,22625,8,2496,0,4069,11525,183
0,45,Reputation,22625,2,2496,0,4069,11549,183
0,45,Reputation,22625,2,2496,0,4069,11550,183
0,45,Reputation,22625,4,2496,0,4069,11552,183
9,45,Reputation,22625,15,2496,0,4069,11554,183
0,45,Reputation,22625,4,2496,0,4069,11588,183
1,45,Reputation,22625,1,2496,0,4069,11598,183
0,45,Reputation,22625,4,2496,438,4069,11616,183
0,45,Reputation,22625,1,2496,0,4069,11617,183
2,45,Reputation,22625,1,2496,0,4069,11619,183
3,45,Reputation,22625,5,2496,0,4069,11630,183
0,45,Reputation,22625,3,2496,1859,4069,11653,183
