,PostId,userId,Score,ViewCount,CommentCount
121,130,90.0,30,7111.0,10
122,131,5.0,23,,0
123,132,22.0,6,,0
124,133,139.0,0,,2
125,134,138.0,10,4572.0,6
126,135,39.0,7,,3
127,137,74.0,15,,2
128,138,142.0,67,14326.0,4
129,139,5.0,21,,2
130,140,88.0,7,,0
131,141,142.0,2,,0
132,142,8.0,5,,0
133,143,88.0,5,,2
134,144,22.0,17,,0
135,145,138.0,4,2287.0,4
136,146,144.0,12,4419.0,3
137,147,142.0,4,,0
138,148,130.0,4,,0
139,149,74.0,8,,0
140,150,25.0,3,,1
141,151,81.0,60,,4
142,152,,9,1008.0,2
143,153,145.0,6,,1
144,154,108.0,20,,3
145,155,154.0,27,3293.0,2
146,156,148.0,2,233.0,0
147,157,36.0,7,,3
148,159,145.0,8,,0
149,160,158.0,1,,0
150,161,154.0,9,2304.0,0
151,162,74.0,14,,4
152,163,81.0,5,,6
153,164,158.0,2,,0
154,165,74.0,56,22890.0,3
155,166,154.0,10,12304.0,0
156,167,159.0,10,,4
157,168,8.0,17,1022.0,1
158,169,159.0,2,,0
159,170,8.0,56,7733.0,1
160,171,159.0,8,,0
161,172,74.0,10,,1
162,173,71.0,15,2519.0,0
163,174,159.0,35,,0
164,175,13.0,29,28291.0,1
165,176,81.0,18,,2
166,177,159.0,22,,2
167,178,74.0,9,,0
168,179,159.0,12,,0
169,180,90.0,4,,0
170,181,159.0,50,39097.0,0
171,182,74.0,16,,0
172,183,166.0,3,753.0,1
173,184,159.0,6,,0
174,185,80.0,10,,2
175,187,119.0,3,,0
176,188,61.0,21,,4
177,189,173.0,4,,2
178,190,25.0,7,,0
179,191,173.0,3,,0
180,192,1356.0,3,1597.0,1
181,193,,6,,0
182,194,175.0,6,838.0,2
183,195,173.0,5,506.0,0
184,196,87.0,19,4090.0,2
185,197,5.0,9,,1
186,198,61.0,3,,0
187,199,5.0,4,,0
188,200,174.0,13,,3
189,201,183.0,8,,0
190,202,183.0,11,,0
191,203,183.0,16,6033.0,2
192,204,183.0,7,,2
193,205,187.0,12,543.0,0
194,206,188.0,13,70255.0,1
195,207,,48,,0
196,208,74.0,4,,1
197,209,174.0,19,,4
198,210,183.0,9,,3
199,211,187.0,6,,0
200,212,190.0,3,430.0,0
201,213,159.0,51,9772.0,3
202,214,40.0,4,,0
203,215,187.0,1,,2
204,216,191.0,9,483.0,0
205,217,5.0,6,,4
206,218,187.0,2,,0
207,219,154.0,3,,3
208,220,85.0,14,9481.0,2
209,221,159.0,15,,2
210,222,191.0,26,36801.0,1
211,223,79.0,5,291.0,5
212,224,128.0,8,1418.0,3
213,225,196.0,7,617.0,2
214,226,173.0,12,,2
215,227,144.0,2,,1
216,228,10.0,2,,0
217,229,159.0,10,,2
218,230,173.0,5,,0
219,231,199.0,4,,2
220,232,103.0,12,,2
221,234,198.0,5,,1
222,235,13.0,4,,0
223,236,138.0,0,,0
224,237,199.0,1,,0
225,238,138.0,8,,0
226,240,114.0,4,,1
227,241,196.0,5,,1
228,242,199.0,12,470.0,5
229,243,196.0,7,,0
230,244,13.0,17,,4
231,245,196.0,0,,0
232,246,198.0,6,,0
233,247,171.0,2,,1
234,248,211.0,4,,0
235,249,213.0,4,454.0,1
236,250,171.0,5,,5
237,252,81.0,5,,3
238,253,215.0,7,,0
239,254,8.0,4,,3
240,255,88.0,8,,1
241,256,217.0,14,1422.0,0
242,257,217.0,14,6700.0,1
243,258,217.0,14,780.0,0
244,259,217.0,12,,5
245,260,217.0,12,,1
246,261,159.0,12,,4
247,262,8.0,13,,7
248,263,190.0,8,,6
249,264,217.0,5,,0
250,265,88.0,14,,0
251,266,128.0,3,,0
252,267,194.0,7,4254.0,1
253,268,107.0,3,,1
254,269,62.0,11,53644.0,0
255,270,90.0,12,1291.0,0
256,271,8.0,7,,0
257,272,216.0,2,,0
258,273,216.0,1,,0
259,274,90.0,10,,3
260,275,88.0,5,,0
261,276,90.0,8,1517.0,0
262,277,215.0,12,3033.0,0
263,278,221.0,6,120.0,1
264,279,62.0,9,,0
265,280,221.0,4,,0
266,281,215.0,2,,0
267,282,81.0,23,,3
268,283,215.0,22,13685.0,0
269,284,215.0,1,,1
270,285,183.0,1,,1
271,286,211.0,12,,0
272,287,90.0,7,1068.0,1
273,288,220.0,5,1093.0,0
274,289,80.0,4,,0
275,290,189.0,6,811.0,1
276,291,211.0,7,,0
277,292,56.0,2,,0
278,293,211.0,4,,1
279,294,211.0,25,,0
280,295,62.0,8,,0
281,296,127.0,10,,0
282,297,56.0,5,,0
283,298,125.0,55,67592.0,4
284,299,5.0,8,,0
285,300,56.0,4,,0
286,301,8.0,6,,7
287,302,196.0,1,,2
288,303,,2,,2
289,304,196.0,0,,3
290,305,196.0,27,2939.0,0
291,306,5.0,8,,2
292,307,229.0,13,,3
293,308,22.0,1,,0
294,309,88.0,2,,1
295,310,,1,,5
296,311,89.0,7,,1
297,312,,4,118.0,0
298,313,226.0,3,,2
299,314,5.0,11,,1
300,315,36.0,5,,0
301,316,36.0,7,,1
302,317,56.0,18,,0
303,318,,4,,0
304,319,71.0,15,,2
305,320,61.0,14,,0
306,321,220.0,10,1950.0,4
307,322,3807.0,11,1449.0,0
308,323,3807.0,22,,2
309,324,3807.0,9,,0
310,326,3807.0,12,,1
311,327,3807.0,1,,0
312,328,75.0,5,2388.0,3
313,329,5.0,11,,0
314,331,61.0,5,,1
315,333,74.0,3,,3
316,337,88.0,1,,4
317,338,89.0,7,,2
318,339,218.0,1,,6
319,340,74.0,5,,0
320,341,88.0,2,435.0,0
321,342,139.0,3,,0
322,343,88.0,3,,0
323,344,88.0,3,,2
324,345,247.0,1,,0
325,346,247.0,26,4873.0,2
326,347,15.0,2,,0
327,348,24.0,-4,,2
328,349,54.0,8,,5
329,350,178.0,1,,0
330,351,16.0,4,,0
331,352,8.0,1,,1
332,353,61.0,11,,1
333,354,3807.0,8,676.0,0
334,355,158.0,1,,0
335,356,8.0,2,,0
336,357,3807.0,5,,5
337,358,88.0,6,,4
338,359,90.0,9,425.0,1
339,360,88.0,4,,2
340,361,170.0,13,,1
341,362,196.0,14,25597.0,0
342,363,74.0,52,5188.0,2
343,365,226.0,4,,0
344,366,226.0,1,,0
345,367,90.0,17,,1
346,368,,2,,2
347,369,191.0,6,485.0,0
348,370,159.0,27,,2
349,371,34.0,15,,2
350,372,252.0,2,754.0,5
351,373,252.0,24,1439.0,2
352,374,252.0,6,273.0,0
353,375,252.0,7,437.0,1
354,376,61.0,9,,0
355,377,173.0,7,,0
356,378,68.0,11,,0
357,379,190.0,5,,0
358,380,88.0,3,,0
359,381,223.0,6,,0
360,382,190.0,3,,0
361,383,251.0,3,,0
362,384,190.0,1,,0
363,385,190.0,4,,1
364,386,223.0,10,,5
365,387,69.0,36,,0
366,388,251.0,4,,1
367,389,199.0,12,,0
368,390,74.0,4,,3
369,392,251.0,5,,0
370,393,223.0,26,,2
371,394,210.0,0,,0
372,395,210.0,4,174.0,1
373,396,,31,2694.0,0
374,397,8.0,5,,0
375,398,5.0,14,,1
376,399,190.0,22,,3
377,400,210.0,10,,3
378,401,256.0,2,,0
379,402,226.0,3,,2
380,403,256.0,1,,0
381,404,46.0,6,,1
382,405,190.0,1,,1
383,406,256.0,11,,0
384,407,256.0,1,,0
385,408,56.0,8,,0
386,409,219.0,2,232.0,0
387,410,56.0,2,,2
388,411,89.0,31,3293.0,8
389,412,8.0,4,,0
390,413,223.0,5,,0
391,414,89.0,20,5291.0,0
392,415,223.0,4,,1
393,416,215.0,14,,1
394,417,251.0,6,,0
395,418,77.0,13,1382.0,1
396,419,215.0,4,,0
397,420,89.0,8,,1
398,421,219.0,52,11458.0,4
399,422,247.0,0,,1
400,423,5.0,156,64481.0,7
401,424,88.0,109,,3
402,425,13.0,88,,0
403,427,215.0,14,,0
404,428,210.0,3,,2
405,429,39.0,14,,5
406,430,251.0,14,,2
407,431,215.0,7,,0
408,432,8.0,96,,1
409,433,5.0,40,,0
410,434,215.0,24,,4
411,435,88.0,84,,1
412,436,215.0,14,,0
413,437,215.0,2,,1
414,438,215.0,10,,1
415,439,30.0,8,,1
416,440,36.0,13,,0
417,441,36.0,5,,0
418,442,36.0,7,,0
419,443,215.0,7,,0
420,445,215.0,2,,2
421,446,215.0,7,,0
422,447,215.0,5,,0
423,448,77.0,6,,0
424,449,215.0,1,,0
425,450,88.0,6,,3
426,451,215.0,5,,1
427,452,215.0,9,9951.0,4
428,453,74.0,8,,0
429,454,62.0,1,,0
430,455,13.0,27,,1
431,456,39.0,6,,0
432,457,,4,,3
433,458,226.0,2,,0
434,459,259.0,7,367.0,0
435,460,61.0,6,,2
436,461,71.0,2,,3
437,462,88.0,8,,0
438,463,90.0,5,,0
439,464,88.0,3,,4
440,465,90.0,2,,0
441,466,115.0,5,,0
442,467,115.0,5,,0
443,468,251.0,4,,0
444,469,251.0,4,,0
445,470,36.0,32,,6
446,471,168.0,14,,1
447,472,61.0,6,,0
448,473,260.0,2,,0
449,474,260.0,5,,0
450,475,253.0,3,,0
451,476,251.0,7,,0
452,477,251.0,1,,0
453,478,251.0,12,,4
454,479,128.0,9,,4
455,480,223.0,14,1711.0,0
456,481,199.0,7,885.0,0
457,482,190.0,5,,0
458,483,88.0,14,,2
459,485,183.0,48,4470.0,3
460,486,266.0,17,23985.0,4
461,487,266.0,9,,1
462,488,183.0,10,,1
463,489,214.0,3,,0
464,490,223.0,16,2262.0,2
465,491,268.0,2,,0
466,492,210.0,10,534.0,3
467,493,268.0,3,,0
468,494,88.0,6,,2
469,495,214.0,6,,1
470,496,190.0,6,,0
471,497,190.0,3,,4
472,498,62.0,2,2137.0,11
473,499,267.0,17,478.0,0
474,500,190.0,2,,1
475,501,88.0,3,,7
476,502,,5,,0
477,503,256.0,2,,1
478,504,5.0,4,,0
479,505,88.0,5,,0
480,506,215.0,13,,1
481,507,215.0,12,3303.0,1
482,508,266.0,1,,0
483,509,,2,,0
484,510,266.0,35,,0
485,511,3807.0,26,,0
486,512,33.0,8,,2
487,513,260.0,2,,0
488,514,266.0,2,,0
489,515,270.0,8,,1
490,516,251.0,3,,0
491,517,68.0,13,1760.0,2
492,518,88.0,3,,1
493,519,270.0,4,,2
494,520,190.0,2,,5
495,521,190.0,7,,0
496,522,39.0,12,,1
497,523,74.0,4,,2
498,524,,8,284.0,0
499,525,247.0,9,,0
500,526,88.0,7,466.0,0
501,527,114.0,6,2504.0,2
502,528,3807.0,2,,1
503,529,,1,,4
504,530,159.0,8,,0
505,531,159.0,4,,0
506,532,159.0,12,,5
507,533,251.0,7,,1
508,534,159.0,44,11149.0,6
509,535,251.0,2,,0
510,537,,11,,0
511,538,260.0,23,,5
512,539,174.0,34,9369.0,2
513,540,183.0,9,,0
514,541,159.0,14,,3
515,542,183.0,7,,0
516,543,183.0,5,,0
517,544,183.0,13,,0
518,545,273.0,1,,0
519,546,183.0,29,,5
520,547,88.0,8,,0
521,548,266.0,5,571.0,0
522,549,270.0,3,,1
523,550,5.0,11,,0
524,551,215.0,36,,4
525,552,215.0,10,,0
526,553,215.0,6,,0
527,554,215.0,10,,0
528,555,,46,6287.0,3
529,556,215.0,-1,,1
530,557,215.0,33,,4
531,558,39.0,11,339.0,0
532,559,88.0,5,,0
533,560,5.0,9,,2
534,561,215.0,12,,0
535,562,5.0,10,1005.0,1
536,563,215.0,8,1855.0,5
537,564,215.0,5,1498.0,2
538,565,88.0,2,,1
539,566,190.0,7,,6
540,567,92.0,11,,1
541,568,92.0,2,,1
542,569,5.0,3,,0
543,570,251.0,12,753.0,2
544,571,217.0,6,,1
545,572,251.0,14,,0
546,573,190.0,10,1043.0,3
547,574,88.0,0,,2
548,575,196.0,14,6570.0,3
549,576,36.0,3,,0
550,577,196.0,79,22354.0,2
551,578,196.0,2,,1
552,579,88.0,6,,11
553,581,99.0,4,3982.0,2
554,582,108.0,4,,1
555,583,39.0,37,,2
556,584,240.0,0,,0
557,585,240.0,4,,1
558,586,251.0,3,,0
559,587,159.0,31,,6
560,588,61.0,6,,4
561,589,61.0,6,,0
562,590,190.0,2,242.0,3
563,591,200.0,2,,0
564,592,57.0,3,,2
565,593,5.0,3,,1
566,594,240.0,12,273.0,1
567,595,223.0,7,,5
568,596,240.0,0,247.0,7
569,597,240.0,2,,0
570,598,22.0,5,,2
571,599,61.0,9,,0
572,600,30.0,8,,2
573,602,88.0,3,247.0,2
574,603,30.0,3,,5
575,604,165.0,7,480.0,6
576,605,88.0,1,,1
577,606,30.0,11,,0
578,607,30.0,70,,1
579,608,196.0,19,1244.0,9
580,609,223.0,6,,2
581,610,159.0,9,,0
582,611,223.0,4,,2
583,612,144.0,12,3981.0,4
584,613,30.0,9,,4
585,614,107.0,22,2267.0,6
586,615,88.0,2,,3
587,616,5.0,6,,0
588,617,5.0,9,,1
589,618,54.0,15,,6
590,619,240.0,4,,1
591,620,253.0,3,,0
592,621,88.0,3,,0
593,622,159.0,15,3833.0,0
594,623,87.0,3,,0
595,624,59.0,3,239.0,0
596,625,159.0,4,,2
597,626,30.0,5,,3
598,627,236.0,10,,0
599,628,,16,,3
600,631,88.0,22,4341.0,0
601,632,223.0,4,,4
602,633,59.0,4,411.0,0
603,634,5.0,7,,0
604,635,30.0,13,,1
605,636,88.0,1,,4
606,637,74.0,4,,0
607,638,59.0,8,771.0,0
608,640,,12,,0
609,641,74.0,4,1286.0,2
610,642,59.0,1,,0
611,643,7.0,21,1582.0,2
612,644,288.0,5,,1
613,645,9426.0,11,2750.0,1
614,646,302.0,9,,1
615,647,25.0,-2,,3
616,648,68.0,13,,7
617,650,190.0,3,,3
618,651,25.0,2,,1
619,652,9426.0,16,16577.0,12
620,653,190.0,4,,0
621,654,88.0,5,,0
622,655,315.0,2,,2
623,656,25.0,61,,1
624,657,315.0,3,,0
625,658,88.0,14,,13
626,659,317.0,2,,1
627,660,292.0,7,510.0,3
628,661,319.0,7,,0
629,662,319.0,8,,0
630,663,319.0,17,,2
631,664,319.0,3,,0
632,665,327.0,39,11200.0,0
633,667,88.0,6,,2
634,668,319.0,4,,0
635,669,319.0,4,,1
636,671,302.0,7,,0
637,672,333.0,21,5405.0,2
638,673,25.0,8,,3
639,674,,4,,2
640,675,89.0,49,,5
641,676,288.0,2,,0
642,677,74.0,5,,1
643,678,81.0,3,,0
644,680,74.0,17,,2
645,681,279.0,2,,0
646,682,74.0,6,,3
647,683,223.0,2,,0
648,684,81.0,5,,6
649,685,327.0,-3,288.0,5
650,686,339.0,8,,1
651,687,81.0,2,,1
652,689,,7,,0
653,691,352.0,8,,0
654,692,72.0,9,332.0,0
655,693,319.0,32,,1
656,694,74.0,66,,1
657,695,173.0,3,,1
658,696,173.0,1,,0
659,697,367.0,1,,0
660,699,352.0,7,,0
661,700,368.0,4,,0
662,701,369.0,2,,1
663,702,,2,,2
664,703,251.0,3,,0
665,704,,0,,1
666,705,,4,,3
667,706,378.0,8,,2
668,707,188.0,4,,6
669,708,25692.0,3,,1
670,709,401.0,8,,3
671,710,196.0,3,,0
672,711,401.0,7,,5
673,712,402.0,12,1343.0,1
674,713,,3,,1
675,714,,6,,0
676,715,130.0,2,594.0,0
677,717,196.0,1,,0
678,718,25.0,5,,1
679,720,25.0,18,,4
680,721,251.0,4,,0
681,722,25.0,5,,0
682,723,190.0,7,1836.0,0
683,724,251.0,9,,0
684,725,223.0,5,644.0,0
685,726,223.0,124,34780.0,1
686,727,223.0,61,,2
687,728,223.0,32,,2
688,729,159.0,74,,6
689,730,159.0,146,,5
690,731,251.0,4,,2
691,732,251.0,57,,4
692,733,88.0,3,,4
693,734,88.0,2,,3
694,735,56.0,0,,0
695,736,300.0,3,,0
696,737,,45,,2
697,738,188.0,46,,1
698,739,,94,,3
699,741,251.0,4,,1
700,743,210.0,4,441.0,0
701,744,319.0,115,,6
702,745,,2,,0
703,746,319.0,6,,0
704,747,144.0,5,,0
705,748,434.0,58,,1
706,749,339.0,11,,2
707,750,127.0,17,,6
708,751,127.0,4,,1
709,752,127.0,28,,6
710,753,127.0,78,,1
711,754,223.0,4,,1
712,755,183.0,36,,1
713,757,439.0,3,,0
714,758,190.0,6,,0
715,759,88.0,3,,2
716,760,442.0,14,,4
717,761,251.0,7,,0
718,762,214.0,5,,0
719,763,438.0,10,,2
720,764,445.0,12,1725.0,0
721,765,442.0,8,,1
722,766,449.0,3,,1
723,767,447.0,83,,7
724,768,,2,,1
725,769,327.0,2,247.0,4
726,770,453.0,6,282.0,0
727,771,88.0,0,,0
728,772,5.0,11,,1
729,773,447.0,9,,0
730,774,5.0,7,,0
731,775,460.0,9,1423.0,0
732,776,5.0,2,,0
733,777,334.0,11,,0
734,778,447.0,8,,1
735,779,463.0,8,857.0,5
736,780,172.0,9,,1
737,781,22.0,3,,0
738,782,223.0,3,,0
739,783,442.0,35,,6
740,784,22.0,3,,0
741,785,447.0,15,,0
742,786,460.0,18,,1
743,787,460.0,3,,1
744,788,460.0,1,,2
745,789,447.0,4,,1
746,790,228.0,3,1540.0,3
747,791,447.0,3,,0
748,792,88.0,4,,0
749,793,3807.0,0,,0
750,794,7620.0,28,,2
751,795,474.0,-3,728.0,2
752,796,442.0,19,,1
753,797,,4,,0
754,798,476.0,21,28339.0,0
755,799,447.0,7,,2
756,800,,1,,0
757,801,210.0,2,,2
758,802,196.0,4,,0
759,803,257.0,2,,0
760,804,447.0,9,,2
761,805,,2,551.0,0
762,806,59.0,4,1793.0,1
763,807,196.0,0,,0
764,808,482.0,6,,2
765,809,,2,,0
766,810,25.0,7,,3
767,811,,9,,1
768,812,223.0,6,942.0,1
769,813,,57,,4
770,814,,4,,0
771,815,368.0,4,,2
772,816,56.0,4,,0
773,817,62.0,4,,0
774,818,480.0,1,,1
775,819,25.0,3,,0
776,820,488.0,0,125.0,1
777,821,,1,,0
778,822,247.0,2,,1
779,823,25.0,-7,,8
780,824,39.0,15,,2
781,825,480.0,22,5272.0,8
782,826,215.0,4,,0
783,827,5.0,13,,6
784,828,334.0,4,,3
785,829,491.0,3,,0
786,830,447.0,3,,2
787,831,494.0,1,,0
788,832,,2,,1
789,833,495.0,8,,1
790,834,498.0,3,3981.0,3
791,835,62.0,9,,2
792,836,334.0,3,,0
793,837,501.0,0,1195.0,0
794,838,288.0,2,,0
795,839,39.0,4,,0
796,840,288.0,1,,0
797,841,30.0,14,1016.0,2
798,842,88.0,5,,2
799,843,56.0,0,,0
800,844,,3,,1
801,845,8.0,5,,4
802,846,503.0,1,437.0,1
803,847,500.0,0,123.0,3
804,848,,0,,0
805,849,485.0,21,,4
806,850,88.0,0,,1
807,851,8.0,4,,0
808,852,,2,361.0,0
809,853,74.0,1,,0
810,854,506.0,2,,5
811,855,8.0,1,,0
812,856,506.0,8,1655.0,0
813,857,482.0,6,,0
814,858,485.0,1,,2
815,859,445.0,11,1535.0,0
816,860,511.0,4,,2
817,861,481.0,3,,0
818,862,159.0,16,,4
819,863,196.0,4,,0
820,864,,3,,0
821,865,401.0,0,,2
822,866,455.0,55,11646.0,3
823,867,364.0,3,,0
824,868,9426.0,3,792.0,1
825,869,196.0,2,,1
826,870,520.0,13,14181.0,4
827,871,520.0,19,9102.0,1
828,872,159.0,6,,0
829,873,251.0,1,,0
830,874,260.0,9,,0
831,875,163.0,16,,1
832,876,530.0,31,,0
833,877,531.0,3,716.0,1
834,878,,38,,6
835,879,251.0,6,,0
836,880,223.0,6,392.0,2
837,881,34.0,5,264.0,0
838,882,223.0,4,,0
839,883,159.0,3,,0
840,884,541.0,28,1102.0,0
841,886,,9,1538.0,4
842,887,213.0,3,723.0,1
843,889,,1,,0
844,890,,2,913.0,1
845,893,236.0,12,,2
846,894,1356.0,22,,3
847,895,8.0,2,,0
848,897,284.0,8,2528.0,0
849,898,5.0,5,725.0,1
850,899,219.0,11,860.0,3
851,900,,1,,0
852,901,11.0,1,,0
853,902,247.0,2,,1
854,903,11.0,3,,0
855,904,549.0,7,,2
856,905,549.0,9,,1
857,908,88.0,6,,3
858,909,364.0,2,,1
859,910,88.0,3,,6
860,911,549.0,3,,1
861,912,549.0,1,,0
862,913,59.0,3,600.0,2
863,914,88.0,3,,0
864,915,247.0,3,,0
865,916,287.0,4,,2
866,917,287.0,5,,5
867,918,251.0,3,,2
868,919,287.0,1,,0
869,920,559.0,4,653.0,0
870,922,251.0,2,,1
871,924,559.0,6,719.0,2
872,925,,0,,0
873,926,287.0,5,,6
874,927,319.0,17,778.0,0
875,928,1356.0,5,2162.0,3
876,929,560.0,0,191.0,4
877,930,88.0,1,,2
878,931,561.0,4,,2
879,932,,3,,0
880,933,561.0,2,,0
881,934,511.0,6,,4
882,935,39.0,1,,1
883,936,253.0,2,,1
884,937,251.0,7,,0
885,938,,1,,1
886,939,559.0,3,556.0,2
887,940,87.0,7,,0
888,941,251.0,6,,0
889,942,75.0,15,1955.0,0
890,943,279.0,2,,0
891,944,,1,168.0,5
892,945,334.0,2,,0
893,946,569.0,2,633.0,0
894,947,287.0,5,,1
895,948,287.0,1,,2
896,949,511.0,15,1880.0,9
897,950,99.0,1,,12
898,951,172.0,6,574.0,0
899,952,513.0,3,322.0,2
900,953,183.0,1,,0
901,954,183.0,4,,0
902,955,175.0,0,1267.0,6
903,956,25.0,10,,1
904,957,25.0,0,,2
905,958,183.0,1,,0
906,959,183.0,2,,0
907,960,88.0,2,,0
908,961,582.0,10,1991.0,0
909,962,223.0,10,,1
910,963,339.0,3,,2
911,964,438.0,3,393.0,0
912,965,56.0,4,,1
913,966,334.0,2,,2
914,967,215.0,23,,4
915,968,1356.0,58,,3
916,969,144.0,7,,0
917,970,247.0,1,,0
918,971,339.0,10,,3
919,972,566.0,1,,0
920,973,223.0,16,4214.0,2
921,975,8.0,2,,0
922,977,210.0,2,373.0,0
923,978,8.0,3,,0
924,980,,4,3839.0,7
925,981,8.0,6,,11
926,982,6.0,6,,3
927,983,6.0,2,,1
928,984,601.0,1,,1
929,986,419.0,3,,0
930,990,3807.0,4,,1
931,991,603.0,1,,0
932,992,603.0,1,,0
933,993,506.0,6,,2
934,994,,6,,0
935,995,,3,,0
936,996,603.0,13,,0
937,997,25.0,9,,2
938,998,3807.0,0,,0
939,999,,3,,0
940,1000,549.0,4,,0
941,1001,608.0,3,1036.0,6
942,1003,36.0,8,,0
943,1004,88.0,10,,6
944,1005,36.0,10,,1
945,1006,419.0,4,,0
946,1008,419.0,1,,1
947,1009,419.0,3,,0
948,1010,8.0,8,,0
949,1011,378.0,4,,1
950,1012,196.0,0,538.0,3
951,1013,56.0,1,,2
952,1014,614.0,8,,0
953,1015,108.0,7,699.0,2
954,1016,614.0,8,4921.0,0
955,1018,88.0,2,,0
956,1019,88.0,2,,3
957,1020,88.0,2,,0
958,1021,88.0,2,,0
959,1023,74.0,7,692.0,1
960,1024,378.0,3,,0
961,1025,3807.0,4,,1
962,1026,159.0,24,,6
963,1027,,0,,3
964,1028,608.0,10,3899.0,0
965,1029,183.0,3,,0
966,1030,530.0,6,,0
967,1031,223.0,6,,4
968,1032,531.0,2,,0
969,1033,,0,,0
970,1035,419.0,4,,0
971,1036,557.0,14,,2
972,1038,1356.0,1,,0
973,1039,319.0,4,,0
974,1040,168.0,1,759.0,3
975,1041,,2,,1
976,1043,601.0,1,,0
977,1044,319.0,5,,1
978,1045,,3,427.0,1
979,1046,253.0,5,,0
980,1047,614.0,13,4458.0,0
981,1048,247.0,8,,2
982,1049,,7,,1
983,1050,1356.0,9,,3
984,1051,251.0,5,,6
985,1052,,10,3519.0,0
986,1053,172.0,17,1552.0,1
987,1054,172.0,4,508.0,0
988,1055,159.0,20,,2
989,1056,251.0,10,,0
990,1057,251.0,2,,0
991,1058,251.0,9,,0
992,1059,183.0,25,,0
993,1060,339.0,6,958.0,0
994,1061,603.0,11,,4
995,1062,368.0,4,713.0,1
996,1063,353.0,5,11865.0,0
997,1064,253.0,51,,2
998,1065,601.0,6,,1
999,1066,634.0,1,268.0,5
1000,1068,493.0,4,,8
1001,1069,39.0,4,,4
1002,1070,251.0,4,,3
1003,1072,603.0,4,,3
1004,1073,638.0,12,,4
1005,1074,638.0,2,,1
1006,1079,87.0,4,,1
1007,1080,572.0,1,,0
1008,1081,144.0,3,556.0,2
1009,1082,,3,651.0,0
1010,1083,603.0,3,,0
1011,1084,642.0,4,667.0,0
